1,대자인병원,종합병원,063-240-2000,54910,전라북도 전주시 덕진구 견훤로 390 
2,부안성모병원,종합병원,063-581-5100,56313,전라북도 부안군 부안읍 오정2길 24 
3,의료법인 오성의료재단 동군산병원,종합병원,063-440-0300,54033,전라북도 군산시 조촌로 149  
4,의료법인석천재단고창병원,종합병원,063-560-5600,56436,전라북도 고창군 고창읍 화신1길 9 
5,의료법인영경의료재단전주병원,종합병원,063-220-7200,54985,전라북도 전주시 완산구 한두평3길 13 
6,익산병원,종합병원,063-840-9114,54543,전라북도 익산시 무왕로 969 
7,재단법인 아산사회복지재단 정읍아산병원,종합병원,063-530-6000,56153,전라북도 정읍시 충정로 606-22 
8,재단법인예수병원유지재단예수병원,종합병원,063-230-8114,54987,전라북도 전주시 완산구 서원로 365 
9,전라북도 군산의료원,종합병원,063-472-5000,54105,전라북도 군산시 의료원로 27 
10,전라북도 남원의료원,종합병원,063-620-1114,55726,전라북도 남원시 충정로 365 
11,전주고려병원,종합병원,063-240-7300,54915,전라북도 전주시 덕진구 안덕원로 367 
12,동아의료재단동아병원,병원,063-770-7700,54390,전라북도 김제시 요촌1길 97 
13,김제병원,병원,063-770-8275,54373,전라북도 김제시 중앙로 55  
14,김제우석병원,병원,063-540-5114,54372,전라북도 김제시 서암4길 45 
15,나은병원,병원,063-859-7708,54634,전라북도 익산시 무왕로 1004  
16,남원병원,병원,063-631-0119,55731,전라북도 남원시 충정로 115 
17,남원성일병원,병원,063-634-8898,55703,전라북도 남원시 사매면 춘향로 822-129 
18,다사랑병원,병원,063-228-5540,55105,전라북도 전주시 완산구 백제대로 74 
19,더세움병원,병원,063-243-9100,55019,전라북도 전주시 덕진구 서가재미2길 7  
20,동산병원,병원,063-856-5522,54597,전라북도 익산시 중앙로 141 
21,드림솔병원,병원,063-250-8000,54877,전라북도 전주시 완산구 천잠로 507 
22,미래병원,병원,063-545-0090,54339,전라북도 김제시 금구면 낙산1길 74-1 
23,미르아동병원,병원,063-229-0114,55105,전라북도 전주시 완산구 백제대로 100 
24,미르피아여성병원,병원,063-211-1004,55065,전라북도 전주시 완산구 쑥고개로 343 
25,믿음병원,병원,063-543-5119,54404,전라북도 김제시 금성로 90-0 
26,박종혁믿음병원,병원,063-224-5100,54969,전라북도 전주시 완산구 홍산로 250-0 
27,본병원,병원,063-220-0300,54970,전라북도 전주시 완산구 유연로 276 
28,부안21세기병원,병원,063-583-3366,56306,전라북도 부안군 부안읍 석정로 171 
29,부안드림병원,병원,063-580-6700,56307,전라북도 부안군 부안읍 번영로 189-0 드림병원
30,삼남재활의학과병원,병원,063-222-8080,54984,전라북도 전주시 완산구 영경3길 6  
31,석정웰파크병원,병원,063-560-1000,56451,전라북도 고창군 고창읍 석정2로 147 
32,수병원,병원,063-251-7200,54965,전라북도 전주시 완산구 서원로 63 
33,신세계병원,병원,063-545-8700,54346,전라북도 김제시 금산면 구성5길 84-15 
34,엠마오사랑병원,병원,063-230-5300,55046,전라북도 전주시 완산구 서원로 402-35 
35,온고을재활의학과병원,병원,063-710-3300,55097,전라북도 전주시 완산구 완산길 100 
36,온누리아동병원,병원,063-839-5500,54565,전라북도 익산시 동서로 491 
37,온누리안과병원,병원,063-277-2774,54972,전라북도 전주시 완산구 백제대로 325-0 1동 
38,원광병원,병원,063-270-1114,54887,전라북도 전주시 덕진구 가련산로 99 
39,유로병원,병원,063-231-6565,54963,전라북도 전주시 완산구 효자로 169 
40,유앤미 병원,병원,063-279-1500,54954,전라북도 전주시 완산구 백제대로 361 
41,으뜸병원,병원,063-220-3300,55126,전라북도 전주시 완산구 모악로 4678  
42,의료법인 관주의료재단 정다운병원,병원,063-460-3000,54126,전라북도 군산시 대학로 236 
43,의료법인 동인재단 동부병원,병원,063-433-2991,55438,전라북도 진안군 진안읍 마이산로 90-16 
44,의료법인 명지원의료재단 김제중앙병원,병원,063-540-9900,54415,전라북도 김제시 동서로 77  
45,의료법인 모세의료재단 모세병원,병원,063-460-9005,54081,전라북도 군산시 문화로 47 
46,의료법인 유진의료재단 바른몸병원,병원,063-453-8275,54077,전라북도 군산시 백릉로 34 
47,의료법인 이루의료재단 임실병원,병원,063-640-8888,55927,전라북도 임실군 임실읍 운수로 15 
48,의료법인 일암의료재단 고려병원,병원,063-290-0114,55342,전라북도 완주군 삼례읍 동학로 21
49,의료법인 평화의료재단 군산성신병원,병원,063-441-3300,54122,전라북도 군산시 백토로 33-0  
50,의료법인 평화의료재단 정읍성신병원,병원,063-530-7100,56181,전라북도 정읍시 충정로 344-5  
51,의료법인 힐튼의료재단 솔병원,병원,063-581-3800,56308,전라북도 부안군 부안읍 석정로 170 
52,의료법인성은의료재단참조은병원,병원,063-538-9730,56163,전라북도 정읍시 새암길 29-11 
53,의료법인성하의료재단 누가병원,병원,063-450-0900,54076,전라북도 군산시 백릉로 70 
54,의료법인영경의료재단호성전주병원,병원,063-240-8800,54902,전라북도 전주시 덕진구 동부대로 895 6층 
55,의료법인완주의료재단한마음화산병원,병원,063-260-1300,55309,전라북도 완주군 화산면 운제로 100 
56,의료법인의인의료재단차병원,병원,063-460-3305,54131,전라북도 군산시 수송로 8 
57,의료법인지석의료재단 효병원,병원,063-545-8100,54346,전라북도 김제시 금산면 구성5길 84-15 
58,의료법인혜성병원,병원,063-583-5001,56304,전라북도 부안군 부안읍 부령로 33 
59,익산제일병원,병원,063-840-2300,54604,전라북도 익산시 평동로 665  
60,익산희망병원,병원,063-851-5600,54593,전라북도 익산시 중앙로1길 35 
61,재단법인 원불교 원병원,병원,063-843-3582,54535,전라북도 익산시 익산대로25길 18  
62,전라북도 마음사랑병원,병원,063-240-2100,55347,전라북도 완주군 소양면 소양로 465-23 
63,전주21세기병원,병원,063-270-5200,54840,전라북도 전주시 덕진구 송천중앙로 43 
64,전주기독병원,병원,063-220-7000,55056,전라북도 전주시 완산구 거마평로 185 
65,전주다솔아동병원,병원,063-280-0800,54966,전라북도 전주시 완산구 우전로 250 
66,전주문병원,병원,063-286-0000,55082,전라북도 전주시 완산구 용머리로 106-0  0동 
67,전주샘물아동병원,병원,063-230-7211,54969,전라북도 전주시 완산구 세내로 285-0  1동 5층 
68,전주시티병원,병원,063-239-0114,54969,전라북도 전주시 완산구 세내로 277 
69,전주신세계정형외과병원,병원,063-270-1900,54838,전라북도 전주시 덕진구 송천중앙로 125 
70,전주열린병원,병원,063-710-0114,54994,전라북도 전주시 완산구 기린대로 227 
71,전주우리들병원,병원,063-715-3700,55079,전라북도 전주시 완산구 쑥고개로 398-16 
72,전주우리병원,병원,063-710-3114,55093,전라북도 전주시 완산구 백제대로 140 
73,전주우석병원,병원,063-220-8300,54987,전라북도 전주시 완산구 어은로 46 
